Tag Type,Tag Id,Time (UTC),RSSI,Latitude,Longitude,beep_number,tagFamily,payloadType,solar_mV,temperature_C
bluetooth,870614B1,2025-05-27 19:51:00.217785Z,-70,39.001063,-74.914401,26234,2,0,1562,21.48
bluetooth,77AAF9E2,2025-05-27 19:51:00.948899Z,-84,39.001063,-74.914401,64685,1,0,1617,25.85
radio434mhz,071E6661,2025-05-27 19:51:01.143671Z,-107,39.001066,-74.914400
bluetooth,23D9727E,2025-05-27 19:51:01.582770Z,-58,39.001066,-74.914400,64,2,0,1553,33.61
bluetooth,870614B1,2025-05-27 19:51:03.240772Z,-70,39.001071,-74.914396,59459,2,0,1562,21.63
bluetooth,07F9389E,2025-05-27 19:51:03.387097Z,-82,39.001071,-74.914396,33956,2,0,1543,25.67
radio434mhz,1E336107,2025-05-27 19:51:03.533259Z,-84,39.001071,-74.914396
radio434mhz,071E6661,2025-05-27 19:51:04.312436Z,-107,39.001074,-74.914398
bluetooth,23D9727E,2025-05-27 19:51:04.653675Z,-58,39.001074,-74.914398,14892,2,0,1555,33.43
bluetooth,870614B1,2025-05-27 19:51:06.262711Z,-69,39.001065,-74.914349,33972,2,0,1562,21.58
radio434mhz,071E6661,2025-05-27 19:51:07.481313Z,-107,39.001063,-74.914360
bluetooth,23D9727E,2025-05-27 19:51:07.677130Z,-57,39.001063,-74.914360,14120,2,0,1554,33.48
bluetooth,07F9389E,2025-05-27 19:51:08.358851Z,-82,39.001064,-74.914362,22775,2,0,1543,25.57
radio434mhz,1E336107,2025-05-27 19:51:08.700526Z,-84,39.001064,-74.914362
userLocation,user,2025-05-27 19:51:10.029482Z,0,39.001054,-74.914375
radio434mhz,071E6661,2025-05-27 19:51:10.650091Z,-108,39.001054,-74.914375
bluetooth,23D9727E,2025-05-27 19:51:10.748373Z,-57,39.001054,-74.914375,8543,2,0,1554,33.36
bluetooth,77AAF9E2,2025-05-27 19:51:11.138108Z,-83,39.001054,-74.914375,26438,1,0,1617,25.57
bluetooth,77AAF9E2,2025-05-27 19:51:11.868931Z,-84,39.001054,-74.914375,36696,1,0,1617,25.77
bluetooth,870614B1,2025-05-27 19:51:12.307705Z,-69,39.001054,-74.914376,55145,2,0,1562,21.93
radio434mhz,071E6661,2025-05-27 19:51:13.821411Z,-107,39.001054,-74.914377
97,2,0,1554,33.56
radio434mhz,1E336107,2025-05-27 19:51:13.916303Z,-84,39.001054,-74.914377
bluetooth,77AAF9E2,2025-05-27 19:51:14.209613Z,-84,39.001046,-74.914387,47100,1,0,1617,25.67
bluetooth,870614B1,2025-05-27 19:51:15.330992Z,-68,39.001049,-74.914409,26049,2,0,1561,21.91
bluetooth,77AAF9E2,2025-05-27 19:51:15.769487Z,-83,39.001049,-74.914409,16719,1,0,1618,25.52
bluetooth,23D9727E,2025-05-27 19:51:16.841909Z,-58,39.001050,-74.914418,17228,2,0,1554,33.61
radio434mhz,071E6661,2025-05-27 19:51:16.988224Z,-107,39.001050,-74.914418
bluetooth,870614B1,2025-05-27 19:51:18.352954Z,-68,39.001050,-74.914425,19421,2,0,1562,21.68
radio434mhz,1E336107,2025-05-27 19:51:19.132730Z,-84,39.001050,-74.914425
bluetooth,23D9727E,2025-05-27 19:51:19.912692Z,-58,39.001050,-74.914425,22563,2,0,1554,33.74
userLocation,user,2025-05-27 19:51:20.028077Z,0,39.001050,-74.914425
radio434mhz,071E6661,2025-05-27 19:51:20.157051Z,-106,39.001050,-74.914425
bluetooth,23D9727E,2025-05-27 19:51:22.984784Z,-58,39.001050,-74.914434,28167,2,0,1554,33.46
radio434mhz,071E6661,2025-05-27 19:51:23.325541Z,-106,39.001050,-74.914434
radio434mhz,1E336107,2025-05-27 19:51:24.300866Z,-84,39.001051,-74.914437
bluetooth,23D9727E,2025-05-27 19:51:26.006555Z,-56,39.001051,-74.914440,26700,2,0,1555,33.46
bluetooth,870614B1,2025-05-27 19:51:27.420937Z,-71,39.001051,-74.914439,6801,2,0,1561,21.78
radio434mhz,1E336107,2025-05-27 19:51:29.467485Z,-84,39.001050,-74.914436
radio434mhz,071E6661,2025-05-27 19:51:29.613879Z,-107,39.001050,-74.914436
userLocation,user,2025-05-27 19:51:30.029458Z,0,39.001050,-74.914436
bluetooth,870614B1,2025-05-27 19:51:30.491830Z,-71,39.001050,-74.914436,35532,2,0,1561,21.86
bluetooth,23D9727E,2025-05-27 19:51:32.149746Z,-55,39.001050,-74.914433,31190,2,0,1554,33.56
radio434mhz,071E6661,2025-05-27 19:51:32.784837Z,-108,39.001050,-74.914433
radio434mhz,1E336107,2025-05-27 19:51:34.684691Z,-84,39.001050,-74.914431
bluetooth,23D9727E,2025-05-27 19:51:35.172314Z,-56,39.001048,-74.914418,61481,2,0,1553,33.68
