UsbPort,BluRadioId,RadioId,Time,TagRSSI,TagId,Sync,Product,Revision,NodeId,Payload
,,1,2025-05-27 20:25:59,-69,D7510A57,52997,,,7D769A01,
,,1,2025-05-27 20:25:48,-69,13323C65,89,,,AA4358FB,
,,5,2025-05-27 20:25:48,-62,23D9727E,64341,,,AA4358FB,
,,1,2025-05-27 20:25:49,-71,0000006E,23006,,,AA4358FB,
,,4,2025-05-27 20:25:49,-71,0000006E,23006,,,AA4358FB,
,,3,2025-05-27 20:25:49,-71,0000006E,23006,,,AA4358FB,
,,5,2025-05-27 20:25:49,-71,0000006E,23006,,,AA4358FB,
,,5,2025-05-27 20:25:49,-77,E197FE3E,41262,,,AA4358FB,
,,3,2025-05-27 20:25:50,-78,E85FB74C,25511,,,AA4358FB,
,,5,2025-05-27 20:25:50,-73,59FE8D30,41614,,,AA4358FB,
,,3,2025-05-27 20:25:50,-69,81D187E3,40992,,,AA4358FB,
,,3,2025-05-27 20:25:51,-67,07F9389E,11223,,,AA4358FB,
,,1,2025-05-27 20:25:51,-67,07F9389E,11223,,,AA4358FB,
,,5,2025-05-27 20:25:51,-67,07F9389E,11223,,,AA4358FB,
,,1,2025-05-27 20:25:53,-71,367E0F4A,30825,,,AA4358FB,
,,5,2025-05-27 20:25:53,-71,367E0F4A,30825,,,AA4358FB,
,,3,2025-05-27 20:25:53,-71,367E0F4A,30825,,,AA4358FB,
,,2,2025-05-27 20:25:53,-80,A648A0E7,43775,,,AA4358FB,
,,3,2025-05-27 20:25:53,-80,A648A0E7,43775,,,AA4358FB,
,,5,2025-05-27 20:25:53,-80,A648A0E7,43775,,,AA4358FB,
,,3,2025-05-27 20:25:55,-65,0000006E,22672,,,AA4358FB,
,,5,2025-05-27 20:25:55,-65,0000006E,22672,,,AA4358FB,
,,1,2025-05-27 20:25:45,-75,D7510A57,15339,,,CB4A1EAE,
,,4,2025-05-27 20:25:45,-75,D7510A57,15339,,,CB4A1EAE,
,,3,2025-05-27 20:25:44,-68,A648A0E7,27981,,,520A3C5C,
,,2,2025-05-27 20:25:45,-67,A648A0E7,20087,,,520A3C5C,
,,3,2025-05-27 20:25:45,-67,A648A0E7,20087,,,520A3C5C,
,,3,2025-05-27 20:25:46,-55,870614B1,53347,,,520A3C5C,
,,3,2025-05-27 20:25:46,-76,13323C65,2832,,,520A3C5C,
,,2,2025-05-27 20:25:46,-76,13323C65,2832,,,520A3C5C,
,,3,2025-05-27 20:25:48,-67,A648A0E7,1826,,,520A3C5C,
,,5,2025-05-27 20:25:48,-67,A648A0E7,1826,,,520A3C5C,
,,4,2025-05-27 20:25:48,-67,A648A0E7,1826,,,520A3C5C,
,,1,2025-05-27 20:25:48,-67,A648A0E7,1826,,,520A3C5C,
,,3,2025-05-27 20:25:48,-68,D7510A57,50631,,,520A3C5C,
,,5,2025-05-27 20:25:48,-68,D7510A57,50631,,,520A3C5C,
,,2,2025-05-27 20:25:48,-68,D7510A57,50631,,,520A3C5C,
,,5,2025-05-27 20:25:48,-72,0000006E,23006,,,520A3C5C,
,,4,2025-05-27 20:25:48,-72,0000006E,23006,,,520A3C5C,
,,2,2025-05-27 20:25:48,-72,0000006E,23006,,,520A3C5C,
,,1,2025-05-27 20:25:48,-72,0000006E,23006,,,520A3C5C,
,,3,2025-05-27 20:25:48,-72,0000006E,23006,,,520A3C5C,
,,4,2025-05-27 20:25:56,-84,81D187E3,12250,,,CB4A1EAE,
,,1,2025-05-27 20:25:56,-84,81D187E3,12250,,,CB4A1EAE,
,,4,2025-05-27 20:25:58,-67,870614B1,12172,,,CB4A1EAE,
,,5,2025-05-27 20:25:50,-83,E2A807D7,22810,,,520A3C5C,
,,3,2025-05-27 20:25:50,-83,E2A807D7,22810,,,520A3C5C,
,,4,2025-05-27 20:25:50,-83,E2A807D7,22810,,,520A3C5C,
,,2,2025-05-27 20:25:50,-83,E2A807D7,22810,,,520A3C5C,
,,5,2025-05-27 20:25:51,-56,23D9727E,65144,,,520A3C5C,
,,3,2025-05-27 20:25:51,-56,23D9727E,65144,,,520A3C5C,
,,1,2025-05-27 20:25:51,-56,23D9727E,65144,,,520A3C5C,
,,2,2025-05-27 20:25:51,-56,23D9727E,65144,,,520A3C5C,
,,4,2025-05-27 20:25:51,-56,23D9727E,65144,,,520A3C5C,
,,2,2025-05-27 20:25:51,-75,13323C65,31643,,,520A3C5C,
,,5,2025-05-27 20:25:51,-75,13323C65,31643,,,520A3C5C,
,,3,2025-05-27 20:25:51,-75,13323C65,31643,,,520A3C5C,
,,3,2025-05-27 20:25:53,-82,A648A0E7,43775,,,520A3C5C,
,,1,2025-05-27 20:25:59,-84,81D187E3,44282,,,CB4A1EAE,
,,3,2025-05-27 20:25:53,-67,13323C65,24084,,,520A3C5C,
,,5,2025-05-27 20:25:53,-67,13323C65,24084,,,520A3C5C,
