UsbPort,BluRadioId,RadioId,Time,TagRSSI,TagId,Sync,Product,Revision,NodeId,Payload
,,5,2025-05-27 19:10:17,-80,E2A807D7,14186,,,520A3C5C,
,,2,2025-05-27 19:10:17,-80,E2A807D7,14186,,,520A3C5C,
,,2,2025-05-27 19:10:18,-75,59FE8D30,63077,,,520A3C5C,
,,5,2025-05-27 19:10:18,-75,59FE8D30,63077,,,520A3C5C,
,,3,2025-05-27 19:10:18,-78,B3DA9765,27953,,,520A3C5C,
,,2,2025-05-27 19:10:18,-78,B3DA9765,27953,,,520A3C5C,
,,4,2025-05-27 19:10:18,-78,B3DA9765,27953,,,520A3C5C,
,,5,2025-05-27 19:10:18,-78,B3DA9765,27953,,,520A3C5C,
,,5,2025-05-27 19:10:18,-56,870614B1,59281,,,520A3C5C,
,,3,2025-05-27 19:10:18,-56,870614B1,59281,,,520A3C5C,
,,2,2025-05-27 19:10:18,-56,870614B1,59281,,,520A3C5C,
,,4,2025-05-27 19:10:18,-56,870614B1,59281,,,520A3C5C,
,,4,2025-05-27 19:10:19,-75,13323C65,57900,,,520A3C5C,
,,5,2025-05-27 19:10:19,-75,13323C65,57900,,,520A3C5C,
,,3,2025-05-27 19:10:19,-75,13323C65,57900,,,520A3C5C,
,,2,2025-05-27 19:10:19,-75,13323C65,57900,,,520A3C5C,
,,2,2025-05-27 19:10:19,-83,B78FE24A,5180,,,520A3C5C,
,,3,2025-05-27 19:10:19,-83,B78FE24A,5180,,,520A3C5C,
,,2,2025-05-27 19:10:19,-72,367E0F4A,32756,,,520A3C5C,
,,3,2025-05-27 19:10:19,-72,367E0F4A,32756,,,520A3C5C,
,,4,2025-05-27 19:10:20,-75,13323C65,9045,,,520A3C5C,
,,5,2025-05-27 19:10:20,-75,13323C65,9045,,,520A3C5C,
,,2,2025-05-27 19:10:20,-75,13323C65,9045,,,520A3C5C,
,,3,2025-05-27 19:10:20,-75,13323C65,9045,,,520A3C5C,
,,4,2025-05-27 19:10:20,-65,2172633A,48821,,,520A3C5C,
,,2,2025-05-27 19:10:20,-65,2172633A,48821,,,520A3C5C,
,,2,2025-05-27 19:10:21,-71,59FE8D30,10488,,,520A3C5C,
,,3,2025-05-27 19:10:21,-68,D7510A57,45361,,,520A3C5C,
,,2,2025-05-27 19:10:21,-54,870614B1,10343,,,520A3C5C,
,,4,2025-05-27 19:10:23,-78,B3DA9765,14108,,,520A3C5C,
,,2,2025-05-27 19:10:23,-78,B3DA9765,14108,,,520A3C5C,
,,3,2025-05-27 19:10:23,-78,B3DA9765,14108,,,520A3C5C,
,,4,2025-05-27 19:10:24,-78,B3DA9765,59651,,,520A3C5C,
,,5,2025-05-27 19:10:24,-78,B3DA9765,59651,,,520A3C5C,
,,2,2025-05-27 19:10:24,-78,B3DA9765,59651,,,520A3C5C,
,,3,2025-05-27 19:10:24,-78,B3DA9765,59651,,,520A3C5C,
,,5,2025-05-27 19:10:24,-75,D7510A57,34553,,,520A3C5C,
,,4,2025-05-27 19:10:24,-75,D7510A57,34553,,,520A3C5C,
,,1,2025-05-27 19:10:24,-75,D7510A57,34553,,,520A3C5C,
,,2,2025-05-27 19:10:24,-75,D7510A57,34553,,,520A3C5C,
,,3,2025-05-27 19:10:24,-75,D7510A57,34553,,,520A3C5C,
,,4,2025-05-27 19:10:24,-51,23D9727E,31907,,,520A3C5C,
,,2,2025-05-27 19:10:24,-51,23D9727E,31907,,,520A3C5C,
,,3,2025-05-27 19:10:24,-51,23D9727E,31907,,,520A3C5C,
,,3,2025-05-27 19:10:24,-49,870614B1,61562,,,520A3C5C,
,,5,2025-05-27 19:10:24,-49,870614B1,61562,,,520A3C5C,
,,5,2025-05-27 19:10:00,-73,367E0F4A,48795,,,9CC5DC79,
,,4,2025-05-27 19:10:00,-73,367E0F4A,48795,,,9CC5DC79,
,,4,2025-05-27 19:10:00,-83,81D187E3,59671,,,9CC5DC79,
,,1,2025-05-27 19:10:01,-80,E197FE3E,24021,,,9CC5DC79,
,,4,2025-05-27 19:10:01,-80,E197FE3E,24021,,,9CC5DC79,
,,3,2025-05-27 19:10:01,-80,E197FE3E,24021,,,9CC5DC79,
,,5,2025-05-27 19:10:01,-80,E197FE3E,24021,,,9CC5DC79,
,,4,2025-05-27 19:10:02,-78,59FE8D30,58287,,,9CC5DC79,
,,4,2025-05-27 19:10:04,-72,367E0F4A,1326,,,9CC5DC79,
,,1,2025-05-27 19:10:05,-77,59FE8D30,8713,,,9CC5DC79,
,,4,2025-05-27 19:10:05,-84,81D187E3,45987,,,9CC5DC79,
,,4,2025-05-27 19:10:06,-71,367E0F4A,19896,,,9CC5DC79,
,,4,2025-05-27 19:10:07,-75,A648A0E7,32278,,,9CC5DC79,
,,5,2025-05-27 19:10:07,-75,A648A0E7,32278,,,9CC5DC79,
,,4,2025-05-27 19:10:07,-76,D7510A57,46042,,,9CC5DC79,
,,4,2025-05-27 19:10:07,-71,367E0F4A,40542,,,9CC5DC79,
,,4,2025-05-27 19:10:09,-79,59FE8D30,5409,,,7378B941,
,,1,2025-05-27 19:10:09,-79,59FE8D30,5409,,,7378B941,
,,4,2025-05-27 19:10:08,-72,81D187E3,27535,,,4D64B5B5,
,,5,2025-05-27 19:10:11,-74,13323C65,11592,,,7378B941,
,,4,2025-05-27 19:10:11,-74,13323C65,11592,,,7378B941,
,,1,2025-05-27 19:10:11,-74,13323C65,11592,,,7378B941,
,,4,2025-05-27 19:10:11,-81,13323C65,11592,,,9CC5DC79,
,,4,2025-05-27 19:10:12,-79,367E0F4A,50754,,,9CC5DC79,
,,5,2025-05-27 19:10:17,-81,B3DA9765,16678,,,9CC5DC79,
,,4,2025-05-27 19:10:17,-81,B3DA9765,16678,,,9CC5DC79,
,,1,2025-05-27 19:10:17,-81,B3DA9765,16678,,,9CC5DC79,
