"","Time","RadioId","TagId","TagRSSI","NodeId","Validated"
"1191",2025-02-26 19:53:09,2,"2D4B5519",-97,"3b5aae",1
"1192",2025-02-26 19:53:11,2,"1E66192A",-91,"3b5aae",1
"1193",2025-02-26 19:53:14,2,"1E78191E",-97,"3b5aae",1
"1194",2025-02-26 19:53:14,2,"2D4B5519",-94,"3b5aae",1
"1195",2025-02-26 19:53:16,2,"1E66192A",-91,"3b5aae",1
"1196",2025-02-26 19:53:19,2,"1E78191E",-93,"3b5aae",1
"1197",2025-02-26 19:53:19,2,"2D4B5519",-96,"3b5aae",1
"1198",2025-02-26 19:53:21,2,"1E66192A",-93,"3b5aae",1
"1199",2025-02-26 19:53:24,2,"1E78191E",-96,"3b5aae",1
"1200",2025-02-26 19:53:24,2,"2D4B5519",-94,"3b5aae",1
"1201",2025-02-26 19:53:26,2,"1E66192A",-90,"3b5aae",1
"1202",2025-02-26 19:53:30,2,"1E78191E",-93,"3b5aae",1
"1203",2025-02-26 19:53:30,2,"2D4B5519",-93,"3b5aae",1
"1204",2025-02-26 19:53:35,2,"1E78191E",-90,"3b5aae",1
"1205",2025-02-26 19:53:36,2,"1E66192A",-90,"3b5aae",1
"1206",2025-02-26 19:53:40,2,"2D4B5519",-93,"3b5aae",1
"1207",2025-02-26 19:53:41,2,"1E66192A",-89,"3b5aae",1
"1208",2025-02-26 19:53:45,2,"2D4B5519",-96,"3b5aae",1
"1209",2025-02-26 19:53:45,2,"1E78191E",-89,"3b5aae",1
"1210",2025-02-26 19:53:47,2,"1E66192A",-90,"3b5aae",1
"1211",2025-02-26 19:53:51,2,"2D4B5519",-92,"3b5aae",1
"1212",2025-02-26 19:53:51,2,"1E78191E",-90,"3b5aae",1
"1213",2025-02-26 19:53:52,2,"1E66192A",-90,"3b5aae",1
"1214",2025-02-26 19:53:56,2,"2D4B5519",-92,"3b5aae",1
"1215",2025-02-26 19:53:56,2,"1E78191E",-92,"3b5aae",1
"1216",2025-02-26 19:53:57,2,"1E66192A",-90,"3b5aae",1
"1217",2025-02-26 19:54:01,2,"2D4B5519",-92,"3b5aae",1
